1880.05.08_TheBristolMercuryandDailyPost_0006,1880.05.05_TheLeedsMercury_0008
1880.05.08_TheBristolMercuryandDailyPost_0007,1880.05.05_TheDerbyMercury_0007
1880.05.08_TheBristolMercuryandDailyPost_0008,1880.05.07_ThePallMallGazette_0008
1880.05.08_TheBristolMercuryandDailyPost_S0001,1880.05.06_DailyNews_0002
1880.05.08_TheBristolMercuryandDailyPost_S0002,1880.05.04_AberdeenWeeklyJournal_0005
1880.05.08_TheBristolMercuryandDailyPost_S0003,1880.05.05_DailyNews_0002
1880.05.08_TheBristolMercuryandDailyPost_S0006,1880.05.07_TheLeedsMercury_0003
1880.05.08_TheBristolMercuryandDailyPost_S0007,1880.05.03_LiverpoolMercuryetc_0008
1880.05.08_TheExaminer_0027,1880.05.01_Jackson'sOxfordJournal_0003
1880.05.08_TheIllustratedPoliceNewsetc_0002,1880.05.02_Reynolds'sNewspaper_0003
1880.05.08_TheIllustratedPoliceNewsetc_0003,1880.05.02_Reynolds'sNewspaper_0006
1880.05.08_TheIllustratedPoliceNewsetc_0004,1880.05.02_Reynolds'sNewspaper_0008
1880.05.08_TheIpswichJournal_0002,1880.05.01_Jackson'sOxfordJournal_0002
1880.05.08_TheIpswichJournal_0006,1880.05.05_TheDerbyMercury_0001
1880.05.08_TheIpswichJournal_0007,1880.05.04_ThePallMallGazette_0010
1880.05.08_TheIpswichJournal_0008,1880.05.07_DailyNews_0006
1880.05.08_TheIpswichJournal_S0001,1880.05.05_BirminghamDailyPost_0005
1880.05.08_TheIpswichJournal_S0002,1880.05.07_TheBristolMercuryandDailyPost_0002
1880.05.08_TheIpswichJournal_S0003,1880.05.06_ThePallMallGazette_0007
1880.05.08_TheIpswichJournal_S0004,1880.05.07_TheBristolMercuryandDailyPost_0008
1880.05.08_TheLeedsMercury_0002,1880.05.07_ThePallMallGazette_0014
1880.05.08_TheLeedsMercury_0006,1880.05.07_BirminghamDailyPost_0006
1880.05.08_TheLeedsMercury_0010,1880.05.07_ThePallMallGazette_0008
1880.05.08_TheLeedsMercury_S0002,1880.05.06_GlasgowHerald_0005
1880.05.08_TheLeedsMercury_S0004,1880.05.06_AberdeenWeeklyJournal_0006
1880.05.08_TheLeedsMercury_S0006,1880.05.01_TheBristolMercuryandDailyPost_S0007
1880.05.08_ThePallMallGazette_0015,1880.05.01_TheGraphic_0017
1880.05.09_Lloyd'sWeeklyNewspaper_0002,1880.05.06_TheLeedsMercury_0005
1880.05.09_Lloyd'sWeeklyNewspaper_0003,1880.05.08_TheBristolMercuryandDailyPost_S0003
1880.05.09_Lloyd'sWeeklyNewspaper_0004,1880.05.07_DailyNews_0002
1880.05.09_Reynolds'sNewspaper_0001,1880.05.06_DailyNews_0005
1880.05.09_Reynolds'sNewspaper_0002,1880.05.01_ThePallMallGazette_0009
1880.05.09_Reynolds'sNewspaper_0003,1880.05.05_DailyNews_0002
1880.05.09_Reynolds'sNewspaper_0004,1880.05.07_DailyNews_0002
1880.05.09_Reynolds'sNewspaper_0005,1880.05.07_TheBristolMercuryandDailyPost_0008
1880.05.09_Reynolds'sNewspaper_0006,1880.05.08_TheIpswichJournal_0008
1880.05.09_Reynolds'sNewspaper_0007,1880.05.02_Lloyd'sWeeklyNewspaper_0008
1880.05.09_TheEra_0006,1880.05.06_TheHullPacketandEastRidingTimes_0003
1880.05.09_TheEra_0010,1880.05.02_Reynolds'sNewspaper_0004
1880.05.10_AberdeenWeeklyJournal_0001,1880.05.07_GlasgowHerald_0001
1880.05.10_AberdeenWeeklyJournal_0002,1880.05.07_TheBristolMercuryandDailyPost_0002
1880.05.10_AberdeenWeeklyJournal_0003,1880.05.08_TheLeedsMercury_0006
1880.05.10_AberdeenWeeklyJournal_0005,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_AberdeenWeeklyJournal_0006,1880.05.07_DailyNews_0005
1880.05.10_AberdeenWeeklyJournal_0007,1880.05.08_TheBristolMercuryandDailyPost_0006
1880.05.10_BirminghamDailyPost_0004,1880.05.08_ThePallMallGazette_0014
1880.05.10_BirminghamDailyPost_0006,1880.05.08_TheLeedsMercury_0006
1880.05.10_BirminghamDailyPost_0008,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_DailyNews_0004,1880.05.08_ThePallMallGazette_0014
1880.05.10_DailyNews_0005,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_Freeman'sJournalandDailyCommercialAdvertiser_0006,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_Freeman'sJournalandDailyCommercialAdvertiser_0008,1880.05.08_ThePallMallGazette_0014
1880.05.10_GlasgowHerald_0001,1880.05.08_ThePallMallGazette_0014
1880.05.10_GlasgowHerald_0007,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_GlasgowHerald_0008,1880.05.05_BirminghamDailyPost_0006
1880.05.10_LiverpoolMercuryetc_0006,1880.05.09_Lloyd'sWeeklyNewspaper_0001
1880.05.10_LiverpoolMercuryetc_0008,1880.05.08_TheLeedsMercury_0006
1880.05.10_NorthernEcho_0003,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_TheBristolMercuryandDailyPost_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.10_TheHullPacketandEastRidingTimes_0001,1880.05.05_AberdeenWeeklyJournal_0001
1880.05.10_TheHullPacketandEastRidingTimes_0002,1880.05.07_TheBristolMercuryandDailyPost_0007
1880.05.10_TheHullPacketandEastRidingTimes_0004,1880.05.04_TheBristolMercuryandDailyPost_0006
1880.05.10_TheLeedsMercury_0001,1880.05.08_ThePallMallGazette_0014
1880.05.10_TheLeedsMercury_0002,1880.05.08_DailyNews_0006
1880.05.10_TheLeedsMercury_0003,1880.05.08_GlasgowHerald_0003
1880.05.10_TheLeedsMercury_0004,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_TheLeedsMercury_0005,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_TheLeedsMercury_0008,1880.05.09_Reynolds'sNewspaper_0001
1880.05.10_ThePallMallGazette_0013,1880.05.07_BirminghamDailyPost_0006
1880.05.11_AberdeenWeeklyJournal_0002,1880.05.03_HampshireTelegraphandSussexChronicleetc_0002
1880.05.11_AberdeenWeeklyJournal_0005,1880.05.10_ThePallMallGazette_0006
1880.05.11_AberdeenWeeklyJournal_0007,1880.05.10_TheLeedsMercury_0003
1880.05.11_BirminghamDailyPost_0005,1880.05.10_ThePallMallGazette_0006
1880.05.11_BirminghamDailyPost_0006,1880.05.08_TheLeedsMercury_0006
1880.05.11_BirminghamDailyPost_0007,1880.05.04_TheHullPacketandEastRidingTimes_0002
1880.05.11_DailyNews_0001,1880.05.07_ThePallMallGazette_0014
1880.05.11_DailyNews_0002,1880.05.10_ThePallMallGazette_0006
1880.05.11_GlasgowHerald_0006,1880.05.04_BirminghamDailyPost_0006
1880.05.11_GlasgowHerald_0007,1880.05.10_AberdeenWeeklyJournal_0003
1880.05.11_TheBristolMercuryandDailyPost_0002,1880.05.10_ThePallMallGazette_0008
1880.05.11_TheBristolMercuryandDailyPost_0005,1880.05.10_TheLeedsMercury_0005
1880.05.11_TheBristolMercuryandDailyPost_0007,1880.05.05_TheDerbyMercury_0007
1880.05.11_TheBristolMercuryandDailyPost_0008,1880.05.04_TheHullPacketandEastRidingTimes_0002
1880.05.11_TheHullPacketandEastRidingTimes_0001,1880.05.05_AberdeenWeeklyJournal_0001
1880.05.11_TheHullPacketandEastRidingTimes_0002,1880.05.07_TheBristolMercuryandDailyPost_0007
1880.05.11_TheHullPacketandEastRidingTimes_0003,1880.05.10_ThePallMallGazette_0008
1880.05.11_TheHullPacketandEastRidingTimes_0004,1880.05.10_DailyNews_0006
1880.05.11_TheIpswichJournal_0003,1880.05.10_GlasgowHerald_0007
1880.05.11_TheIpswichJournal_0004,1880.05.08_ThePallMallGazette_0004
1880.05.11_TheLeedsMercury_0001,1880.05.06_ThePallMallGazette_0015
1880.05.11_TheLeedsMercury_0005,1880.05.10_LiverpoolMercuryetc_0006
1880.05.11_TheLeedsMercury_0006,1880.05.10_ThePallMallGazette_0008
1880.05.11_TheLeedsMercury_0008,1880.05.10_ThePallMallGazette_0004
1880.05.11_ThePallMallGazette_0014,1880.05.10_GlasgowHerald_0001
1880.05.11_WesternMail_0004,1880.05.04_TheHullPacketandEastRidingTimes_0002
1880.05.12_AberdeenWeeklyJournal_0002,1880.05.04_TheHullPacketandEastRidingTimes_0003
1880.05.12_AberdeenWeeklyJournal_0003,1880.05.06_GlasgowHerald_0006
1880.05.12_AberdeenWeeklyJournal_0005,1880.05.11_TheLeedsMercury_0005
1880.05.12_AberdeenWeeklyJournal_0006,1880.05.11_GlasgowHerald_0005
1880.05.12_BaneracAmserauCymru_0015,1880.05.06_YGenedlCymreig_0002
1880.05.12_BirminghamDailyPost_0006,1880.05.08_TheLeedsMercury_0006
1880.05.12_BirminghamDailyPost_0007,1880.05.11_ThePallMallGazette_0007
1880.05.12_BirminghamDailyPost_0008,1880.05.11_ThePallMallGazette_0006
1880.05.12_DailyNews_0001,1880.05.11_ThePallMallGazette_0014
1880.05.12_DailyNews_0003,1880.05.05_BirminghamDailyPost_0006
1880.05.12_GlasgowHerald_0001,1880.05.11_ThePallMallGazette_0014
1880.05.12_GlasgowHerald_0008,1880.05.07_BirminghamDailyPost_0006
1880.05.12_HampshireTelegraphandSussexChronicleetc_0001,1880.05.06_ThePallMallGazette_0015
1880.05.12_HampshireTelegraphandSussexChronicleetc_0002,1880.05.11_DailyNews_0006
1880.05.12_HampshireTelegraphandSussexChronicleetc_0004,1880.05.11_DailyNews_0005
1880.05.12_HampshireTelegraphandSussexChronicleetc_S0001,1880.05.08_TheIpswichJournal_0008
1880.05.12_HampshireTelegraphandSussexChronicleetc_S0002,1880.05.10_TheLeedsMercury_0005
1880.05.12_HampshireTelegraphandSussexChronicleetc_S0003,1880.05.10_AberdeenWeeklyJournal_0006
1880.05.12_HampshireTelegraphandSussexChronicleetc_S0004,1880.05.10_BirminghamDailyPost_0005
1880.05.12_TheBristolMercuryandDailyPost_0002,1880.05.11_ThePallMallGazette_0006
1880.05.12_TheBristolMercuryandDailyPost_0003,1880.05.11_DailyNews_0002
1880.05.12_TheBristolMercuryandDailyPost_0006,1880.05.11_DailyNews_0006
1880.05.12_TheBristolMercuryandDailyPost_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.12_TheDerbyMercury_0001,1880.05.08_TheBristolMercuryandDailyPost_0002
1880.05.12_TheDerbyMercury_0003,1880.05.06_ThePallMallGazette_0004
1880.05.12_TheDerbyMercury_0006,1880.05.10_GlasgowHerald_0007
1880.05.12_TheDerbyMercury_0007,1880.05.03_TheHullPacketandEastRidingTimes_0002
1880.05.12_TheDerbyMercury_0008,1880.05.08_TheBristolMercuryandDailyPost_S0006
1880.05.12_TheHullPacketandEastRidingTimes_0001,1880.05.05_AberdeenWeeklyJournal_0001
1880.05.12_TheHullPacketandEastRidingTimes_0002,1880.05.07_TheBristolMercuryandDailyPost_0007
1880.05.12_TheHullPacketandEastRidingTimes_0003,1880.05.11_ThePallMallGazette_0010
1880.05.12_TheHullPacketandEastRidingTimes_0004,1880.05.11_WesternMail_0003
1880.05.12_TheLeedsMercury_0001,1880.05.11_ThePallMallGazette_0014
1880.05.12_TheLeedsMercury_0006,1880.05.07_BirminghamDailyPost_0006
1880.05.12_TheLeedsMercury_0007,1880.05.11_ThePallMallGazette_0006
1880.05.12_ThePallMallGazette_0013,1880.05.07_BirminghamDailyPost_0006
1880.05.12_ThePallMallGazette_0014,1880.05.10_TheLeedsMercury_0001
1880.05.12_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1880.05.01_HampshireTelegraphandSussexChronicleetc_0002
