1806.08.02_CaledonianMercury_0004,1806.07.23_TheAberdeenJournal_0001
1806.08.02_Cobbett'sWeeklyPoliticalRegister_0016,1806.07.28_CaledonianMercury_0002
1806.08.02_Jackson'sOxfordJournal_0002,1806.07.30_TheMorningChronicle_0001
1806.08.02_Jackson'sOxfordJournal_0002,1806.07.30_TheMorningChronicle_0002
1806.08.02_Jackson'sOxfordJournal_0002,1806.07.31_Trewman'sExeterFlyingPost_0004
1806.08.02_TheNewcastleCourantetc_0002,1806.07.26_TheMorningChronicle_0002
1806.08.02_TheNewcastleCourantetc_0002,1806.07.28_CaledonianMercury_0002
1806.08.02_TheNewcastleCourantetc_0003,1806.07.10_CaledonianMercury_0001
1806.08.02_TheNewcastleCourantetc_0004,1806.07.30_TheMorningChronicle_0001
1806.08.02_TheNewcastleCourantetc_0004,1806.07.30_TheMorningChronicle_0002
1806.08.04_HampshireTelegraphandSussexChronicleetc_0002,1806.07.31_TheMorningChronicle_0002
1806.08.04_HampshireTelegraphandSussexChronicleetc_0004,1806.07.30_TheMorningChronicle_0001
1806.08.06_TheAberdeenJournal_0003,1806.07.28_CaledonianMercury_0003
1806.08.06_TheAberdeenJournal_0003,1806.07.31_CaledonianMercury_0002
1806.08.06_TheAberdeenJournal_0003,1806.07.31_CaledonianMercury_0003
1806.08.09_CaledonianMercury_0004,1806.07.23_TheAberdeenJournal_0001
1806.08.09_TheNewcastleCourantetc_0003,1806.07.10_CaledonianMercury_0001
1806.08.11_CaledonianMercury_0004,1806.07.30_TheAberdeenJournal_0002
1806.08.13_TheAberdeenJournal_0002,1806.07.26_CaledonianMercury_0004
1806.08.14_Trewman'sExeterFlyingPost_0003,1806.07.24_TheDerbyMercury_0004
1806.08.28_TheDerbyMercury_0001,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.09.10_TheAberdeenJournal_0002,1806.07.10_CaledonianMercury_0004
1806.09.10_TheAberdeenJournal_0002,1806.07.14_CaledonianMercury_0001
1806.09.10_TheAberdeenJournal_0002,1806.07.31_CaledonianMercury_0004
1806.09.18_TheDerbyMercury_0004,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.09.25_TheDerbyMercury_0004,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.09.25_TheDerbyMercury_0004,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.10.23_TheDerbyMercury_0004,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.10.30_TheDerbyMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.11.20_TheDerbyMercury_0004,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.11.24_CaledonianMercury_0004,1806.07.30_TheAberdeenJournal_0002
1806.11.27_TheDerbyMercury_0004,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.12.11_CaledonianMercury_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.12.11_CaledonianMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.12.11_CaledonianMercury_0001,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.12.11_CaledonianMercury_0001,1806.07.23_TheAberdeenJournal_0001
1806.12.13_CaledonianMercury_0001,1806.07.03_Trewman'sExeterFlyingPost_0003
1806.12.13_CaledonianMercury_0001,1806.07.10_Trewman'sExeterFlyingPost_0003
1806.12.13_CaledonianMercury_0001,1806.07.16_TheAberdeenJournal_0002
1806.12.13_CaledonianMercury_0001,1806.07.17_Trewman'sExeterFlyingPost_0003
1806.12.13_CaledonianMercury_0001,1806.07.23_TheAberdeenJournal_0001
1807.01.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0001,1806.07.31_Trewman'sExeterFlyingPost_0001
1807.01.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1806.07.03_Trewman'sExeterFlyingPost_0003
1807.01.01_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1806.07.24_Trewman'sExeterFlyingPost_0002
1807.01.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1806.07.17_Trewman'sExeterFlyingPost_0003
1807.01.15_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1806.07.31_Trewman'sExeterFlyingPost_0003
1807.01.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1806.07.17_Trewman'sExeterFlyingPost_0003
1807.01.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1806.07.24_Trewman'sExeterFlyingPost_0001
1807.01.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1806.07.31_Trewman'sExeterFlyingPost_0002
1807.01.29_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0002,1806.07.31_Trewman'sExeterFlyingPost_0003
1807.02.05_Trewman'sExeterFlyingPostorPlymouthandCornishAdvertiser_0003,1806.07.31_Trewman'sExeterFlyingPost_0003
